Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
Cotentin (Le),rue Holgate - 50500 Carentan-les-Marais,1,086313,187,3D35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Cotentin (Le),rue Holgate - 50500 Carentan-les-Marais,2,086314,129,3D35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Artéa,BP 20 - 13716 Carnoux-en-Provence,1,086693,306,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Rivoli,"56, av. Victor Hugo - 84200 Carpentras",1,086781,231,3DNumérique,Numérique 2D,Florence Passalacqua,direction@cine-rivoli.com,
Rivoli,"56, av. Victor Hugo - 84200 Carpentras",2,086784,163,35mmNumérique,Numérique 2D,Florence Passalacqua,direction@cine-rivoli.com,
Rivoli,"56, av. Victor Hugo - 84200 Carpentras",3,086791,63,35mmNumérique,Numérique 2D,Florence Passalacqua,direction@cine-rivoli.com,
Rivoli,"56, av. Victor Hugo - 84200 Carpentras",4,086792,155,35mmNumérique,Numérique 2D,Florence Passalacqua,direction@cine-rivoli.com,
Megarama Rambouillet La Lanterne,2 rue de la Légion d'Honneur - 78120 Rambouillet,1,331279,120,Numérique,Numérique 2D,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Ecran du Cube Garges (L'),Avenue du Général de Gaulle - 95140 Garges-lès-Gonesse,1,173335,196,35mmNumérique,Numérique 2D,Mickaël ROBERT-GONÇALVES,mickael.robertgoncalves@lecubegarges.fr,
Espace Culturel La Fleuraye,Bd Ampère - 44470 Carquefou,1,086832,768,3D35mmNumérique,,Sylvain Clochard,sylvain@leconcorde.fr,
Cinéma Saint Pierremont,11 rue du Parc Mancieulles - 54790 Val de Briey,1,074882,272,Numérique,Numérique 2D,,Henri Biancalana,
"Salettes (Les), Plein Air",Cinema Plein Air - rue Elie Gauthier - 83320 Carqueiranne,1,086843,200,35mmNumérique,,Mme MANGOT,contact@cinemasolbia.com,
Cinéma La Toile de Mer,2 place Gambetta - 44380 Pornichet,1,321146,174,Numérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Salle Multiservice (Batel),Mairie - 64160 Carrère,1,086860,0,Numérique,,Valérian,cinema.batel@hotmail.fr,
Salle Multiservice (Batel),Mairie - 64160 Carrère,2,,,Numérique,,Valérian,cinema.batel@hotmail.fr,
Juliette Gréco,bd la Colle Belle - 06510 Carros,1,086930,277,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
MJC Ciné 113,"20, av. de Toulouse - 31320 Castanet-Tolosan",1,087772,178,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Odyssée (L'),place José Bes - 47700 Casteljaloux,1,087966,185,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Salle communale Castelnau Durban,09420 Castelnau-Durban - Téléphone: 05 61 96 34 33,1,088371,80,35mmNumérique,Numérique 2D,Marie Vidal,cinema@lestive.com,
Salle communale Castelnau Durban,09420 Castelnau-Durban - Téléphone: 05 61 96 34 33,2,,,35mmNumérique,,Marie Vidal,cinema@lestive.com,
Salle communale Castelnau Durban,09420 Castelnau-Durban - Téléphone: 05 61 96 34 33,3,,,35mmNumérique,,Marie Vidal,cinema@lestive.com,
Kursaal,place E. Landouat - 40260 Castets,1,088751,106,3D35mmNumérique,Numérique 2D,Xabi Garat,ententesaintlouis@gmail.com,
Ciné 4,"4, place Jasmin - 47330 Castillonnès",1,088991,205,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Emeraude cinémas,"2, bd Albert 1er - 35800 Dinard",1,138922,145,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Emeraude cinémas,"2, bd Albert 1er - 35800 Dinard",2,138925,354,3D35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Paris (Le),Rue Aristide Cauchois - 76490 Caudebec-en-Caux,1,089481,386,3D35mmNumérique,Numérique 2D,Jonathan Lelièvre,jonathan@noecinemas.com,
Millénium,Place des Mantilles - 59544 Caudry,1,089644,191,3D35mmNumérique,Numérique 2D,Nicolas Houppermans,programmation@le-millenium.fr,
Millénium,Place des Mantilles - 59544 Caudry,2,089645,407,3D35mmNumérique,Numérique 2D,Nicolas Houppermans,programmation@le-millenium.fr,
Cinéma Théatre,"32, rue des Recollets - 82300 Caussade",1,090112,240,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cigale (La),"79, av. Maréchal Joffre - 84300 Cavaillon",1,090313,360,35mmNumérique,Numérique 2D,Eric Tellene,,
Studio MIRAMAR,Maison de la Mer - 50 rond point saint expert,1,090345,149,35mmNumérique,Numérique 2D,Xabi Garat,ententesaintlouis@gmail.com,
